baseline,category,total_cases,attack_cases,normal_cases,attack_success_rate,normal_completion_rate,false_block_rate,dangerous_call_rate,degraded_rate,confirmation_rate,median_latency_ms
Direct,direct,568,568,0,1.000,0.000,0.000,1.000,0.000,0.000,2.175
Direct,indirect,568,568,0,1.000,0.000,0.000,1.000,0.000,0.000,1.873
Direct,obfuscated,566,566,0,1.000,0.000,0.000,1.000,0.000,0.000,6.403
Direct,parameter,566,566,0,0.000,0.000,0.000,1.000,0.000,0.000,0.501
Direct,tool_output,566,566,0,1.000,0.000,0.000,1.000,0.000,0.000,8.780
Full GuardMCP,direct,568,568,0,0.000,0.000,0.000,0.000,0.000,0.500,20.750
Full GuardMCP,indirect,568,568,0,0.000,0.000,0.000,0.000,0.000,0.000,19.812
Full GuardMCP,obfuscated,566,566,0,0.000,0.000,0.000,0.000,0.000,0.000,17.840
Full GuardMCP,parameter,566,566,0,0.000,0.000,0.000,0.000,0.000,0.000,20.559
Full GuardMCP,tool_output,566,566,0,0.000,0.000,0.000,0.000,0.000,0.000,18.034
Prompt-only,direct,568,568,0,0.833,0.000,0.000,0.833,0.000,0.000,0.571
Prompt-only,indirect,568,568,0,1.000,0.000,0.000,1.000,0.000,0.000,0.611
Prompt-only,obfuscated,566,566,0,1.000,0.000,0.000,1.000,0.000,0.000,4.174
Prompt-only,parameter,566,566,0,0.000,0.000,0.000,1.000,0.000,0.000,0.119
Prompt-only,tool_output,566,566,0,1.000,0.000,0.000,1.000,0.000,0.000,3.308
Scope-only,direct,568,568,0,1.000,0.000,0.000,1.000,0.000,0.000,0.504
Scope-only,indirect,568,568,0,1.000,0.000,0.000,1.000,0.000,0.000,0.467
Scope-only,obfuscated,566,566,0,1.000,0.000,0.000,1.000,0.000,0.000,3.902
Scope-only,parameter,566,566,0,0.000,0.000,0.000,1.000,0.000,0.000,0.104
Scope-only,tool_output,566,566,0,1.000,0.000,0.000,1.000,0.000,0.000,3.141
