baseline,category,total_cases,attack_cases,normal_cases,attack_success_rate,normal_completion_rate,false_block_rate,dangerous_call_rate,confirmation_rate,median_latency_ms
Direct,direct,16,16,0,1.000,0.000,0.000,1.000,0.000,0.344
Direct,indirect,27,27,0,0.963,0.000,0.000,1.000,0.000,0.315
Direct,normal,20,0,20,0.000,1.000,0.000,0.000,0.000,0.249
Direct,obfuscated,9,9,0,0.889,0.000,0.000,1.000,0.000,0.218
Direct,parameter,14,14,0,0.143,0.000,0.000,1.000,0.000,0.026
Direct,tool_output,14,14,0,1.000,0.000,0.000,1.000,0.000,0.202
Full GuardMCP,direct,16,16,0,0.000,0.000,0.000,0.000,0.625,2.079
Full GuardMCP,indirect,27,27,0,0.000,0.000,0.000,0.000,0.000,1.810
Full GuardMCP,normal,20,0,20,0.000,1.000,0.000,0.000,0.500,2.268
Full GuardMCP,obfuscated,9,9,0,0.000,0.000,0.000,0.000,0.000,1.825
Full GuardMCP,parameter,14,14,0,0.000,0.000,0.000,0.000,0.143,1.824
Full GuardMCP,tool_output,14,14,0,0.000,0.000,0.000,0.000,0.000,1.834
Prompt-only,direct,16,16,0,0.500,0.000,0.000,0.500,0.000,0.104
Prompt-only,indirect,27,27,0,0.926,0.000,0.000,0.963,0.000,0.314
Prompt-only,normal,20,0,20,0.000,1.000,0.000,0.000,0.000,0.230
Prompt-only,obfuscated,9,9,0,0.667,0.000,0.000,0.778,0.000,0.217
Prompt-only,parameter,14,14,0,0.143,0.000,0.000,0.929,0.000,0.034
Prompt-only,tool_output,14,14,0,1.000,0.000,0.000,1.000,0.000,0.208
Scope-only,direct,16,16,0,1.000,0.000,0.000,1.000,0.000,0.374
Scope-only,indirect,27,27,0,0.963,0.000,0.000,1.000,0.000,0.321
Scope-only,normal,20,0,20,0.000,1.000,0.000,0.000,0.000,0.229
Scope-only,obfuscated,9,9,0,0.889,0.000,0.000,1.000,0.000,0.219
Scope-only,parameter,14,14,0,0.143,0.000,0.000,1.000,0.000,0.027
Scope-only,tool_output,14,14,0,1.000,0.000,0.000,1.000,0.000,0.208
